Key,Name,KeyPlus,Ocean,Year,MinPressure,MaxDuration,MeanWindKPH,MaxWindKPH,StormStart,StormStop,MinPressureAfter
AL011851,UNNAMED,UNNAMED (AL011851),Atlantic,1851,NA,3,98,129,25/06 00:00:00,28/06 00:00:00,NA
AL021851,UNNAMED,UNNAMED (AL021851),Atlantic,1851,NA,0,129,129,05/07 12:00:00,05/07 12:00:00,NA
AL031851,UNNAMED,UNNAMED (AL031851),Atlantic,1851,NA,0,80,80,10/07 12:00:00,10/07 12:00:00,NA
AL041851,UNNAMED,UNNAMED (AL041851),Atlantic,1851,NA,11.75,105,161,16/08 00:00:00,27/08 18:00:00,NA
AL051851,UNNAMED,UNNAMED (AL051851),Atlantic,1851,NA,3.75,80,80,13/09 00:00:00,16/09 18:00:00,NA
AL061851,UNNAMED,UNNAMED (AL061851),Atlantic,1851,NA,3.75,85,97,16/10 00:00:00,19/10 18:00:00,NA
AL011852,UNNAMED,UNNAMED (AL011852),Atlantic,1852,961,11,118,161,19/08 00:00:00,30/08 00:00:00,7.25
AL021852,UNNAMED,UNNAMED (AL021852),Atlantic,1852,NA,1.75,93,113,05/09 00:00:00,06/09 18:00:00,NA
AL031852,UNNAMED,UNNAMED (AL031852),Atlantic,1852,NA,4.75,108,113,09/09 00:00:00,13/09 18:00:00,NA
AL041852,UNNAMED,UNNAMED (AL041852),Atlantic,1852,NA,8.75,117,129,22/09 00:00:00,30/09 18:00:00,NA
AL051852,UNNAMED,UNNAMED (AL051852),Atlantic,1852,NA,5.75,128,145,06/10 00:00:00,11/10 18:00:00,NA
AL011853,UNNAMED,UNNAMED (AL011853),Atlantic,1853,NA,0,80,80,05/08 12:00:00,05/08 12:00:00,NA
AL021853,UNNAMED,UNNAMED (AL021853),Atlantic,1853,NA,0,64,64,10/08 12:00:00,10/08 12:00:00,NA
AL031853,UNNAMED,UNNAMED (AL031853),Atlantic,1853,924,11.75,150,209,30/08 00:00:00,10/09 18:00:00,4.5
AL041853,UNNAMED,UNNAMED (AL041853),Atlantic,1853,NA,2.75,158,161,08/09 00:00:00,10/09 18:00:00,NA
AL051853,UNNAMED,UNNAMED (AL051853),Atlantic,1853,NA,0,80,80,21/09 12:00:00,21/09 12:00:00,NA
AL061853,UNNAMED,UNNAMED (AL061853),Atlantic,1853,NA,5.25,106,113,26/09 00:00:00,01/10 06:00:00,NA
AL071853,UNNAMED,UNNAMED (AL071853),Atlantic,1853,NA,0,80,80,28/09 12:00:00,28/09 12:00:00,NA
AL081853,UNNAMED,UNNAMED (AL081853),Atlantic,1853,NA,3.25,131,145,19/10 00:00:00,22/10 06:00:00,NA
AL011854,UNNAMED,UNNAMED (AL011854),Atlantic,1854,NA,2.5,94,113,25/06 00:00:00,27/06 12:00:00,NA
AL021854,UNNAMED,UNNAMED (AL021854),Atlantic,1854,NA,0,97,97,23/08 12:00:00,23/08 12:00:00,NA
AL031854,UNNAMED,UNNAMED (AL031854),Atlantic,1854,938,5.75,134,177,07/09 00:00:00,12/09 18:00:00,0.5
AL041854,UNNAMED,UNNAMED (AL041854),Atlantic,1854,NA,2.25,119,145,18/09 00:00:00,20/09 06:00:00,NA
AL051854,UNNAMED,UNNAMED (AL051854),Atlantic,1854,NA,2.75,88,97,20/10 00:00:00,22/10 18:00:00,NA
AL011855,UNNAMED,UNNAMED (AL011855),Atlantic,1855,NA,0,145,145,06/08 12:00:00,06/08 12:00:00,NA
AL021855,UNNAMED,UNNAMED (AL021855),Atlantic,1855,NA,1.25,145,145,10/08 00:00:00,11/08 06:00:00,NA
AL031855,UNNAMED,UNNAMED (AL031855),Atlantic,1855,NA,0,113,113,11/08 12:00:00,11/08 12:00:00,NA
AL041855,UNNAMED,UNNAMED (AL041855),Atlantic,1855,997,3.75,86,97,24/08 00:00:00,27/08 18:00:00,3
AL051855,UNNAMED,UNNAMED (AL051855),Atlantic,1855,NA,2.25,136,177,15/09 00:00:00,17/09 06:00:00,NA
AL011856,UNNAMED,UNNAMED (AL011856),Atlantic,1856,934,3.25,139,209,09/08 00:00:00,12/08 06:00:00,1.75
AL021856,UNNAMED,UNNAMED (AL021856),Atlantic,1856,NA,1.75,113,113,13/08 00:00:00,14/08 18:00:00,NA
AL031856,UNNAMED,UNNAMED (AL031856),Atlantic,1856,NA,2.5,80,80,19/08 00:00:00,21/08 12:00:00,NA
AL041856,UNNAMED,UNNAMED (AL041856),Atlantic,1856,NA,0,80,80,21/08 12:00:00,21/08 12:00:00,NA
AL051856,UNNAMED,UNNAMED (AL051856),Atlantic,1856,969,9.75,118,161,25/08 00:00:00,03/09 18:00:00,3.25
AL061856,UNNAMED,UNNAMED (AL061856),Atlantic,1856,NA,4.75,98,113,18/09 00:00:00,22/09 18:00:00,NA
AL011857,UNNAMED,UNNAMED (AL011857),Atlantic,1857,NA,1.75,80,80,30/06 00:00:00,01/07 18:00:00,NA
AL021857,UNNAMED,UNNAMED (AL021857),Atlantic,1857,961,11.5,109,145,06/09 18:00:00,18/09 06:00:00,6
AL031857,UNNAMED,UNNAMED (AL031857),Atlantic,1857,NA,4.75,113,113,22/09 00:00:00,26/09 18:00:00,NA
AL041857,UNNAMED,UNNAMED (AL041857),Atlantic,1857,NA,6.75,105,145,24/09 00:00:00,30/09 18:00:00,NA
AL011858,UNNAMED,UNNAMED (AL011858),Atlantic,1858,NA,0,113,113,12/06 12:00:00,12/06 12:00:00,NA
AL021858,UNNAMED,UNNAMED (AL021858),Atlantic,1858,NA,0,113,113,05/08 12:00:00,05/08 12:00:00,NA
AL031858,UNNAMED,UNNAMED (AL031858),Atlantic,1858,979,3.25,108,145,14/09 00:00:00,17/09 06:00:00,2.75
AL041858,UNNAMED,UNNAMED (AL041858),Atlantic,1858,NA,7.75,123,129,17/09 00:00:00,24/09 18:00:00,NA
AL051858,UNNAMED,UNNAMED (AL051858),Atlantic,1858,NA,3.25,113,129,22/09 12:00:00,25/09 18:00:00,NA
AL061858,UNNAMED,UNNAMED (AL061858),Atlantic,1858,NA,5.25,114,145,21/10 00:00:00,26/10 06:00:00,NA
AL011859,UNNAMED,UNNAMED (AL011859),Atlantic,1859,NA,0,145,145,01/07 12:00:00,01/07 12:00:00,NA
AL021859,UNNAMED,UNNAMED (AL021859),Atlantic,1859,NA,2.75,145,145,17/08 00:00:00,19/08 18:00:00,NA
AL031859,UNNAMED,UNNAMED (AL031859),Atlantic,1859,NA,1.25,113,113,02/09 00:00:00,03/09 06:00:00,NA
