Year,DateTime,MinPressure,MaxDuration,MeanWindKPH,MaxWindKPH,NumStorms,Items,DateTime.p,DateTime.d,DateTime.w
1851,1851-06-25T00:00:00Z,NA,11.75,96,161,6,98,NA,1851-08-27T18:00:00Z,1851-08-23T00:00:00Z
1852,1852-08-19T00:00:00Z,961,11,117,161,5,134,1852-08-26T06:00:00Z,1852-08-30T00:00:00Z,1852-08-24T00:00:00Z
1853,1853-08-05T12:00:00Z,924,11.75,135,209,8,100,1853-09-03T12:00:00Z,1853-09-10T18:00:00Z,1853-09-03T06:00:00Z
1854,1854-06-25T00:00:00Z,938,5.75,114,177,5,60,1854-09-07T12:00:00Z,1854-09-12T18:00:00Z,1854-09-07T00:00:00Z
1855,1855-08-06T12:00:00Z,997,3.75,115,177,5,35,1855-08-27T00:00:00Z,1855-08-27T18:00:00Z,1855-09-16T00:00:00Z
1856,1856-08-09T00:00:00Z,934,9.75,111,209,6,95,1856-08-10T18:00:00Z,1856-09-03T18:00:00Z,1856-08-10T12:00:00Z
1857,1857-06-30T00:00:00Z,961,11.5,107,145,4,104,1857-09-12T18:00:00Z,1857-09-18T06:00:00Z,1857-09-11T00:00:00Z
1858,1858-06-12T12:00:00Z,979,7.75,116,145,6,86,1858-09-16T18:00:00Z,1858-09-24T18:00:00Z,1858-09-15T18:00:00Z
1859,1859-07-01T12:00:00Z,938,5.75,119,177,8,97,1859-10-06T12:00:00Z,1859-10-29T18:00:00Z,1859-10-04T12:00:00Z
1860,1860-08-08T00:00:00Z,NA,8.25,113,177,7,122,NA,1860-08-16T06:00:00Z,1860-08-11T12:00:00Z
1861,1861-07-06T00:00:00Z,999,6.75,108,145,8,110,1861-11-03T18:00:00Z,1861-07-12T18:00:00Z,1861-07-10T12:00:00Z
1862,1862-06-15T00:00:00Z,NA,8.25,115,145,6,88,NA,1862-09-20T06:00:00Z,1862-08-18T00:00:00Z
1863,1863-08-08T00:00:00Z,975,7.75,107,145,9,111,1863-08-22T12:00:00Z,1863-09-16T18:00:00Z,1863-08-08T00:00:00Z
1864,1864-07-16T00:00:00Z,NA,6.25,100,113,5,67,NA,1864-09-01T06:00:00Z,1864-07-16T00:00:00Z
1865,1865-05-30T00:00:00Z,975,8.75,115,145,7,95,1865-10-23T00:00:00Z,1865-09-14T18:00:00Z,1865-09-06T00:00:00Z
1866,1866-07-11T12:00:00Z,938,11.75,132,193,7,123,1866-10-02T00:00:00Z,1866-10-05T18:00:00Z,1866-10-01T12:00:00Z
1867,1867-06-21T12:00:00Z,952,7.75,113,177,9,119,1867-10-29T18:00:00Z,1867-10-09T18:00:00Z,1867-10-29T12:00:00Z
1868,1868-09-03T00:00:00Z,NA,6.75,114,145,4,71,NA,1868-10-07T18:00:00Z,1868-09-06T00:00:00Z
1869,1869-08-12T00:00:00Z,950,7.75,125,161,10,90,1869-09-08T18:00:00Z,1869-09-18T18:00:00Z,1869-09-08T00:00:00Z
1870,1870-07-30T18:00:00Z,948,9.75,119,177,11,163,1870-09-12T00:00:00Z,1870-10-14T18:00:00Z,1870-09-11T00:00:00Z
1871,1871-06-01T00:00:00Z,952,13.75,101,161,8,212,1871-08-16T00:00:00Z,1871-08-30T18:00:00Z,1871-08-15T12:00:00Z
1872,1872-07-09T00:00:00Z,NA,13.75,96,145,5,182,NA,1872-09-02T18:00:00Z,1872-08-29T00:00:00Z
1873,1873-06-01T06:00:00Z,959,15.75,107,161,5,157,1873-10-07T00:00:00Z,1873-08-28T18:00:00Z,1873-08-23T00:00:00Z
1874,1874-07-02T00:00:00Z,980,10.25,88,145,7,164,1874-09-30T18:00:00Z,1874-09-08T06:00:00Z,1874-11-02T00:00:00Z
1875,1875-08-16T00:00:00Z,978,10.75,109,161,6,155,1875-09-13T12:00:00Z,1875-09-18T18:00:00Z,1875-09-16T12:00:00Z
1876,1876-09-09T00:00:00Z,958,11.75,105,161,5,132,1876-10-19T12:00:00Z,1876-10-23T18:00:00Z,1876-09-13T00:00:00Z
1877,1877-08-01T00:00:00Z,NA,14.75,94,161,8,220,NA,1877-10-05T18:00:00Z,1877-10-03T00:00:00Z
1878,1878-07-01T00:00:00Z,938,14.75,108,193,12,391,1878-10-07T12:00:00Z,1878-10-08T18:00:00Z,1878-10-03T00:00:00Z
1879,1879-08-09T00:00:00Z,964,7.75,93,177,8,189,1879-08-23T00:00:00Z,1879-08-20T18:00:00Z,1879-09-01T00:00:00Z
1880,1880-06-21T00:00:00Z,928,10.75,105,209,11,308,1880-10-02T06:00:00Z,1880-08-14T18:00:00Z,1880-08-13T00:00:00Z
1881,1881-08-01T00:00:00Z,970,8.75,95,145,7,172,1881-08-28T00:00:00Z,1881-08-29T18:00:00Z,1881-08-26T18:00:00Z
1882,1882-08-24T06:00:00Z,949,11.25,102,193,6,143,1882-09-10T00:00:00Z,1882-09-13T06:00:00Z,1882-10-09T00:00:00Z
1883,1883-08-18T00:00:00Z,963,10.75,114,177,4,151,1883-09-02T06:00:00Z,1883-08-28T18:00:00Z,1883-08-28T12:00:00Z
1884,1884-09-01T00:00:00Z,957,13.75,106,161,4,169,1884-09-07T12:00:00Z,1884-09-16T18:00:00Z,1884-09-07T00:00:00Z
1885,1885-08-07T00:00:00Z,958,8.75,90,145,8,196,1885-08-27T00:00:00Z,1885-08-15T18:00:00Z,1885-08-24T18:00:00Z
